,Date,주택뉴스심리지수,오피스뉴스심리지수,리테일뉴스심리지수,물류뉴스심리지수
260,2019-09-18,0.569,0.438,0.125,0.0
261,2019-09-19,0.569,0.312,0.5,0.625
262,2019-09-20,0.617,0.615,0.667,1.0
263,2019-09-21,0.5,0.0,0.0,0.0
264,2019-09-22,0.652,0.167,0.667,1.0
265,2019-09-23,0.617,0.5,1.0,0.333
266,2019-09-24,0.574,0.714,0.0,0.5
267,2019-09-25,0.583,0.462,0.833,0.5
268,2019-09-26,0.438,0.583,0.0,0.25
269,2019-09-27,0.542,0.429,0.667,0.143
270,2019-09-28,0.588,0.5,0.0,0.5
271,2019-09-29,0.595,0.5,1.0,1.0
272,2019-09-30,0.525,0.444,0.0,0.667
273,2019-10-01,0.685,0.462,0.0,0.25
274,2019-10-02,0.651,0.4,1.0,1.0
275,2019-10-03,0.556,1.0,0.5,0.4
276,2019-10-04,0.667,0.636,0.286,0.667
277,2019-10-05,0.4,0.5,0.0,0.0
278,2019-10-06,0.433,0.333,0.333,1.0
279,2019-10-07,0.674,0.524,0.6,0.167
280,2019-10-08,0.5,0.7,0.2,0.375
281,2019-10-09,0.588,0.444,0.5,0.333
282,2019-10-10,0.775,0.5,1.0,0.25
283,2019-10-11,0.4,0.3,1.0,0.25
284,2019-10-12,0.571,0.0,0.0,0.0
285,2019-10-13,0.545,1.0,0.0,1.0
286,2019-10-14,0.655,0.462,0.667,0.0
287,2019-10-15,0.483,0.35,1.0,0.4
288,2019-10-16,0.549,0.556,0.0,0.0
289,2019-10-17,0.588,0.542,1.0,0.5
290,2019-10-18,0.5,0.294,0.0,0.0
291,2019-10-19,0.333,0.667,0.0,1.0
292,2019-10-20,0.76,0.0,0.667,0.5
293,2019-10-21,0.591,0.286,0.333,0.0
294,2019-10-22,0.384,0.556,0.0,0.286
295,2019-10-23,0.673,0.294,0.0,0.667
296,2019-10-24,0.682,0.25,0.333,0.222
297,2019-10-25,0.414,0.5,0.0,0.429
298,2019-10-26,0.292,0.0,0.0,0.0
299,2019-10-27,0.538,0.0,0.0,1.0
300,2019-10-28,0.554,0.75,0.0,0.667
301,2019-10-29,0.562,0.4,0.0,0.4
302,2019-10-30,0.451,0.214,0.0,0.167
303,2019-10-31,0.481,0.25,0.333,0.6
304,2019-11-01,0.476,0.5,0.5,0.6
305,2019-11-02,0.0,0.333,0.5,0.0
306,2019-11-03,0.769,0.0,0.0,0.0
307,2019-11-04,0.488,0.571,1.0,0.667
308,2019-11-05,0.571,0.364,0.0,0.6
309,2019-11-06,0.561,0.0,0.5,0.333
310,2019-11-07,0.694,0.143,1.0,0.333
311,2019-11-08,0.5,0.231,1.0,0.25
312,2019-11-09,0.5,0.333,0.0,0.0
313,2019-11-10,0.538,0.5,1.0,1.0
314,2019-11-11,0.591,0.312,1.0,0.3
315,2019-11-12,0.656,0.533,0.0,0.375
316,2019-11-13,0.49,0.5,0.0,0.75
317,2019-11-14,0.514,0.385,0.5,0.25
318,2019-11-15,0.611,0.778,1.0,0.667
319,2019-11-16,0.833,1.0,0.0,1.0
320,2019-11-17,0.714,0.5,0.0,0.5
321,2019-11-18,0.692,0.2,0.5,0.167
322,2019-11-19,0.638,0.556,0.0,0.5
323,2019-11-20,0.788,0.4,1.0,0.333
324,2019-11-21,0.649,0.667,0.0,0.5
325,2019-11-22,0.574,0.25,0.0,0.6
326,2019-11-23,0.8,1.0,1.0,1.0
327,2019-11-24,0.444,0.0,0.0,0.75
328,2019-11-25,0.689,0.25,0.0,0.4
329,2019-11-26,0.612,0.538,0.0,0.375
330,2019-11-27,0.708,0.2,0.667,0.364
331,2019-11-28,0.541,0.25,0.5,0.75
332,2019-11-29,0.604,0.286,0.25,0.111
333,2019-11-30,0.429,0.0,0.0,0.0
334,2019-12-01,0.3,1.0,1.0,0.0
335,2019-12-02,0.615,0.0,0.0,0.0
336,2019-12-03,0.552,0.471,0.25,0.571
337,2019-12-04,0.312,0.5,0.556,0.273
338,2019-12-05,0.387,0.2,0.5,0.091
339,2019-12-06,0.567,0.167,1.0,0.333
340,2019-12-07,0.0,0.0,0.0,0.0
341,2019-12-08,0.609,0.0,0.0,0.2
342,2019-12-09,0.267,0.545,0.0,0.5
343,2019-12-10,0.385,0.385,0.25,1.0
344,2019-12-11,0.656,0.4,1.0,0.0
345,2019-12-12,0.704,0.6,0.25,0.667
346,2019-12-13,0.619,0.857,0.0,0.0
347,2019-12-14,0.333,1.0,0.0,0.0
348,2019-12-15,0.75,0.667,0.0,1.0
349,2019-12-16,0.678,0.167,0.667,0.5
350,2019-12-17,0.633,0.273,0.0,0.333
351,2019-12-18,0.656,0.333,0.25,0.333
352,2019-12-19,0.536,0.5,0.571,0.579
353,2019-12-20,0.635,0.375,0.2,0.833
354,2019-12-21,0.625,1.0,0.0,1.0
355,2019-12-22,0.486,0.5,0.5,0.5
356,2019-12-23,0.376,0.4,1.0,0.75
357,2019-12-24,0.527,0.222,0.5,0.0
358,2019-12-25,0.682,0.333,0.0,0.0
359,2019-12-26,0.765,0.1,0.0,0.0
360,2019-12-27,0.479,0.375,0.0,0.6
361,2019-12-28,0.75,0.25,0.5,0.5
362,2019-12-29,0.308,0.333,0.0,0.25
363,2019-12-30,0.443,0.409,1.0,0.714
364,2019-12-31,0.537,0.556,0.286,0.583
365,2020-01-01,0.409,1.0,0.0,0.0
366,2020-01-02,0.625,0.107,0.778,0.059
367,2020-01-03,0.714,0.267,0.333,0.333
368,2020-01-04,0.3,1.0,0.0,0.0
369,2020-01-05,0.45,0.0,0.0,0.0
370,2020-01-06,0.659,0.0,0.0,1.0
371,2020-01-07,0.475,0.143,0.333,0.0
372,2020-01-08,0.573,0.3,0.0,0.143
373,2020-01-09,0.673,0.556,0.0,0.4
374,2020-01-10,0.72,0.6,0.0,0.75
375,2020-01-11,0.4,0.25,0.0,1.0
376,2020-01-12,0.7,0.5,0.0,0.0
377,2020-01-13,0.586,0.375,0.143,0.125
378,2020-01-14,0.815,0.25,0.25,0.333
379,2020-01-15,0.558,0.5,0.0,0.5
380,2020-01-16,0.527,0.333,0.0,0.25
381,2020-01-17,0.512,0.0,0.0,0.0
382,2020-01-18,0.467,0.5,0.0,0.0
383,2020-01-19,0.361,1.0,0.0,1.0
384,2020-01-20,0.322,0.455,0.0,0.0
385,2020-01-21,0.449,0.4,0.0,0.333
386,2020-01-22,0.733,0.429,0.2,0.5
387,2020-01-23,0.734,0.667,0.333,1.0
388,2020-01-24,0.55,0.0,1.0,0.5
389,2020-01-25,0.727,1.0,0.0,0.0
390,2020-01-26,0.684,0.0,0.0,0.5
391,2020-01-27,0.619,0.0,0.0,0.0
392,2020-01-28,0.632,0.25,0.0,0.6
393,2020-01-29,0.382,0.333,0.333,0.0
394,2020-01-30,0.463,0.222,0.333,0.5
395,2020-01-31,0.435,0.0,0.5,0.5
396,2020-02-01,0.111,0.0,0.0,0.0
397,2020-02-02,0.545,0.5,0.0,0.0
398,2020-02-03,0.45,0.2,0.143,0.0
399,2020-02-04,0.593,0.571,0.4,0.417
400,2020-02-05,0.553,0.667,0.167,0.364
401,2020-02-06,0.6,0.5,0.0,0.2
402,2020-02-07,0.727,0.333,0.0,0.733
403,2020-02-08,0.357,0.0,0.0,1.0
404,2020-02-09,0.467,0.0,0.0,0.2
405,2020-02-10,0.471,0.167,0.5,0.333
406,2020-02-11,0.588,0.214,1.0,0.5
407,2020-02-12,0.531,0.333,0.0,0.4
408,2020-02-13,0.492,0.556,0.5,0.333
409,2020-02-14,0.5,0.75,0.0,0.2
410,2020-02-15,0.625,1.0,0.0,0.0
411,2020-02-16,0.579,0.5,0.0,0.5
412,2020-02-17,0.567,0.3,1.0,0.889
413,2020-02-18,0.694,0.143,1.0,0.333
414,2020-02-19,0.656,0.5,1.0,0.75
415,2020-02-20,0.714,0.364,0.333,0.4
416,2020-02-21,0.618,0.429,0.0,0.333
417,2020-02-22,0.615,0.333,1.0,0.333
